workload,allocator,addrmap,block_tokens,seed,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,preemptions,self_preemptions,blk_adj_mean,same_frame_mean,frame_spread_mean
longctx,contiguous,host-cacheline,16,0,results/headline/longctx_contiguous_host-cacheline_bt16_s0.csv,300,300,0,0,1964,237,48434,108576,0.44608385,391605,0,0,0,0.9685485,0.96832735,0.9687039,0.99980388,0.99946285,1,2935.5874,28825.668,44415.04,,,,,,,,,,,,
longctx,paged,host-cacheline,16,0,results/headline/longctx_paged_host-cacheline_bt16_s0.csv,300,300,0,0,1964,237,48434,108576,0.44608385,391605,0,0,0,0.96299542,0.95611917,0.96824225,0.99980388,0.99946285,1,2823.4189,29990.34,46025.06,,,,,,,,,,,,
longctx,pim-aware,host-cacheline,16,0,results/headline/longctx_pim-aware_host-cacheline_bt16_s0.csv,300,300,0,0,1964,237,48434,108576,0.44608385,391605,0,0,0,0.96863918,0.96846175,0.96875,0.99980388,0.99946285,1,2937.5291,28807.808,44374.34,,,,,,,,,,,,
prefix,contiguous,host-cacheline,16,0,results/headline/prefix_contiguous_host-cacheline_bt16_s0.csv,300,300,0,375,2151,256,6065,7820,0.77557545,28332,0,0,0,0.96547824,0.95547264,0.96817194,0.99651971,0.98850108,1,2864.8185,2279.0918,3411.2,,,,,,,,,,,,
prefix,paged,host-cacheline,16,0,results/headline/prefix_paged_host-cacheline_bt16_s0.csv,300,300,0,0,2082,254,2311,7820,0.2955243,10020,0,0,0,0.89345722,0.74894578,0.95959095,0.99611596,0.98448022,1,2041.8598,3165.0657,5766.21,,,,,,,,,,,,
prefix,pim-aware,host-cacheline,16,0,results/headline/prefix_pim-aware_host-cacheline_bt16_s0.csv,300,300,0,0,2082,254,2311,7824,0.29537321,10020,0,0,0,0.96570798,0.95981081,0.96768287,0.99611596,0.98448022,1,2867.0944,2221.5949,3411.2,,,,,,,,,,,,
spec,contiguous,host-cacheline,4,0,results/headline/spec_contiguous_host-cacheline_bt4_s0.csv,1000,1000,0,0,4643,2147,6405,12396,0.51669894,156713,0,0,1081679872,0.95855953,0.9375,0.96835443,0.96270266,0.91666667,1,2649.8419,862.49809,2152.61,,,,,,,,,,,,
spec,contiguous,host-cacheline,8,0,results/headline/spec_contiguous_host-cacheline_bt8_s0.csv,1000,1000,0,0,4643,2147,3354,6240,0.5375,82609,0,0,1081679872,0.95761383,0.9375,0.9673913,0.9892268,0.96428571,1,2706.4324,844.65193,2095.91,,,,,,,,,,,,
spec,contiguous,host-cacheline,16,0,results/headline/spec_contiguous_host-cacheline_bt16_s0.csv,1000,1000,0,0,4643,2147,1831,3161,0.57924707,45546,0,0,1081679872,0.95786018,0.9375,0.96759259,0.9892268,0.96428571,1,2710.3299,843.41975,2083.81,,,,,,,,,,,,
spec,contiguous,host-cacheline,32,0,results/headline/spec_contiguous_host-cacheline_bt32_s0.csv,1000,1000,0,0,4643,2147,1069,1580,0.67658228,27017,0,0,1081679872,0.95881519,0.94,0.96774194,0.9892268,0.96428571,1,2725.294,840.93642,2076.82,,,,,,,,,,,,
