workload,allocator,addrmap,block_tokens,seed,csv,prompt_len,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95
fixedlen,paged,host-cacheline,4,0,results/heatmap/fixedlen_paged_host-cacheline_bt4_pr512_s0.csv,512,300,300,0,0,1284,159,6735,13395,0.50279955,48000,0,0,0,0.73649653,0.60687023,0.93266745,0.73032107,0.59651644,0.92517857,927.87858,3154.5491,5149.42
fixedlen,paged,host-cacheline,4,0,results/heatmap/fixedlen_paged_host-cacheline_bt4_pr1024_s0.csv,1024,300,300,0,0,1284,159,12751,24044,0.53031941,86400,0,0,0,0.81744053,0.70754163,0.95104895,0.8121973,0.69909304,0.93415351,1264.4109,4072.9748,6326.89
fixedlen,paged,host-cacheline,4,0,results/heatmap/fixedlen_paged_host-cacheline_bt4_pr2048_s0.csv,2048,300,300,0,0,1284,159,24783,45344,0.54655522,163200,0,0,0,0.8817371,0.81117879,0.95879608,0.87976607,0.81321203,0.96101258,1672.7635,5548.0805,7834.29
fixedlen,paged,host-cacheline,4,0,results/heatmap/fixedlen_paged_host-cacheline_bt4_pr4096_s0.csv,4096,300,300,0,0,1284,159,48847,87942,0.55544563,316800,0,0,0,0.92241846,0.88110391,0.96475825,0.92209055,0.87566791,0.97971539,2074.2657,8451.8447,10694.77
fixedlen,paged,host-cacheline,4,0,results/heatmap/fixedlen_paged_host-cacheline_bt4_pr8192_s0.csv,8192,300,300,0,0,1284,159,96975,173139,0.56009911,624000,0,0,0,0.94529574,0.92554636,0.9665081,0.94413057,0.9000413,0.99388216,2389.9681,14312.36,16786.76
fixedlen,paged,host-cacheline,4,0,results/heatmap/fixedlen_paged_host-cacheline_bt4_pr16384_s0.csv,16384,300,300,0,0,1284,159,193231,343532,0.56248326,1238400,0,0,0,0.95701307,0.94467823,0.96849587,0.95861805,0.92365159,0.99520235,2602.1297,25968.066,28126.33
fixedlen,paged,host-cacheline,8,0,results/heatmap/fixedlen_paged_host-cacheline_bt8_pr512_s0.csv,512,300,300,0,0,1284,159,3376,6739,0.50096453,24000,0,0,0,0.79271041,0.6533264,0.9403863,0.99455523,0.98844872,1,1396.3562,1858.7572,2753.03
fixedlen,paged,host-cacheline,8,0,results/heatmap/fixedlen_paged_host-cacheline_bt8_pr1024_s0.csv,1024,300,300,0,0,1284,159,6384,12064,0.52917772,43200,0,0,0,0.86744789,0.78090278,0.95454545,0.99711381,0.9937455,1,1781.0131,2654.8931,3656.49
fixedlen,paged,host-cacheline,8,0,results/heatmap/fixedlen_paged_host-cacheline_bt8_pr2048_s0.csv,2048,300,300,0,0,1284,159,12400,22713,0.54594285,81600,0,0,0,0.91666842,0.87212194,0.96153846,0.9985111,0.99673385,1,2175.2447,4073.8698,5060.36
fixedlen,paged,host-cacheline,8,0,results/heatmap/fixedlen_paged_host-cacheline_bt8_pr4096_s0.csv,4096,300,300,0,0,1284,159,24432,44012,0.55512133,158400,0,0,0,0.94221132,0.91898688,0.96511628,0.9992434,0.99832983,1,2480.5126,6927.9497,7962.58
