workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,arrival_rate
spec,contiguous,host-cacheline,4,0,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt4_s0.csv,1000,1000,0,0,4643,2147,6405,12396,0.51669894,156713,0,0,1081679872,0.95855953,0.9375,0.96835443,0.96270266,0.91666667,1,2649.8419,862.49809,2152.61,
spec,contiguous,host-cacheline,4,0,1.3,1,inorder,results/phaseA/spec_contiguous_host-cacheline_bt4_cminorder_s0.csv,1000,1000,0,0,4643,2147,6405,12396,0.51669894,156713,0,0,1081679872,0.99463288,0.99180328,0.99591411,0.12432911,0.12397541,0.12448926,450.92443,5199.0891,13194.64,
spec,contiguous,host-cacheline,4,1,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt4_s1.csv,1000,1000,0,0,4700,2154,6663,12979,0.51336775,163695,0,0,1116299264,0.9582792,0.93478261,0.96846847,0.9620847,0.9156079,1,2644.9447,891.08124,2266.3,
spec,contiguous,host-cacheline,4,2,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt4_s2.csv,1000,1000,0,0,4323,2000,7018,11897,0.58989661,151306,0,0,1142206464,0.95824836,0.9375,0.96850394,0.95905362,0.91567892,1,2636.0592,890.96805,2258.13,
spec,contiguous,host-cacheline,16,0,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt16_s0.csv,1000,1000,0,0,4643,2147,1831,3161,0.57924707,45546,0,0,1081679872,0.95786018,0.9375,0.96759259,0.9892268,0.96428571,1,2710.3299,843.41975,2083.81,
spec,contiguous,host-cacheline,16,0,1.3,1,inorder,results/phaseA/spec_contiguous_host-cacheline_bt16_cminorder_s0.csv,1000,1000,0,0,4643,2147,1831,3161,0.57924707,45546,0,0,1081679872,0.99469168,0.99204876,0.99595043,0.12433646,0.12400609,0.1244938,451.1878,5197.2028,13226.14,
spec,contiguous,host-cacheline,16,1,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt16_s1.csv,1000,1000,0,0,4700,2154,1927,3244,0.59401973,47293,0,0,1116299264,0.95754828,0.93333333,0.96774194,0.98916678,0.96527778,1,2706.5488,870.18598,2223.73,
spec,contiguous,host-cacheline,16,2,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt16_s2.csv,1000,1000,0,56,4321,2003,2020,2995,0.67445743,44203,0,0,1142206464,0.95808429,0.9375,0.9673913,0.98939312,0.96527778,1,2715.9813,858.09765,2163.1,
spec,contiguous,host-cacheline,64,0,1.3,1,window,results/phaseA/spec_contiguous_host-cacheline_bt64_s0.csv,1000,1000,0,84,4646,2150,684,832,0.82211538,17774,0,0,1081679872,0.96014704,0.94230769,0.96827526,0.98931252,0.96428571,1,2748.4346,834.65763,2058.33,
spec,contiguous,host-cacheline,64,0,1.3,1,inorder,results/phaseA/spec_contiguous_host-cacheline_bt64_cminorder_s0.csv,1000,1000,0,84,4646,2150,684,832,0.82211538,17774,0,0,1081679872,0.99498144,0.99270073,0.99602544,0.12437268,0.12408759,0.12450318,452.46408,5177.8596,13086.11,
