workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,pim_plan,pim_compact,max_batch,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,blocks_copied,compactions,spec_stalls,copied_bytes,preemptions,self_preemptions,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
steady,contiguous,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,16,results/phaseA4/steady_contiguous_host-cacheline_bt16_mb16_rq500_s0.csv,500,500,0,0,9219,4522,834,3000,0.278,18185,0,0,0,0,0,0,0,0.95788003,0.9375,0.9673913,0.9889072,0.96428571,1,2710.2981,784.8971,1875.3,1,0.87711756,1.1351276
steady,contiguous,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,32,results/phaseA4/steady_contiguous_host-cacheline_bt16_mb32_rq500_s0.csv,500,500,0,0,4827,2361,1376,3000,0.45866667,18185,0,0,0,0,0,0,0,0.95762176,0.9375,0.96728972,0.98918607,0.96666667,1,2704.8248,773.38247,1789.3,1,0.87622138,1.1486232
steady,contiguous,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,64,results/phaseA4/steady_contiguous_host-cacheline_bt16_rq500_s0.csv,500,500,0,2078,3483,1636,1978,3000,0.65933333,18185,0,0,0,0,0,0,0,0.95798067,0.9375,0.96753247,0.98883195,0.965,1,2710.2712,815.14548,1840.9,1,0.87655756,1.1431765
steady,contiguous,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,128,results/phaseA4/steady_contiguous_host-cacheline_bt16_mb128_rq500_s0.csv,500,500,0,2132,3387,1614,2044,3000,0.68133333,18185,0,0,0,0,0,0,0,0.95791431,0.9375,0.9673913,0.98978743,0.96875,1,2712.2999,818.03581,1815.1,1,0.87577383,1.1400261
steady,contiguous,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,256,results/phaseA4/steady_contiguous_host-cacheline_bt16_mb256_rq500_s0.csv,500,500,0,2132,3387,1614,2044,3000,0.68133333,18185,0,0,0,0,0,0,0,0.95791431,0.9375,0.9673913,0.98978743,0.96875,1,2712.2999,818.03581,1815.1,1,0.87577383,1.1400261
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,16,results/phaseA4/steady_paged_host-cacheline_bt16_mb16_rq500_s0.csv,500,500,0,0,9219,4522,834,3000,0.278,18185,0,0,0,0,0,0,0,0.75530169,0.73809524,0.79995327,0.9889072,0.96428571,1,1151.1098,1897.9728,4516.2,0.010988823,0.035635617,5.9430815
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,32,results/phaseA4/steady_paged_host-cacheline_bt16_mb32_rq500_s0.csv,500,500,0,0,4827,2361,1376,3000,0.45866667,18185,0,0,0,0,0,0,0,0.76236769,0.73809524,0.86904762,0.98918607,0.96666667,1,1189.3194,1831.8238,4342.5,0.01785928,0.064137611,6.0747754
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,64,results/phaseA4/steady_paged_host-cacheline_bt16_rq500_s0.csv,500,500,0,0,3142,1489,2253,3000,0.751,18185,0,0,0,0,0,0,0,0.7841816,0.74,0.92424242,0.98938042,0.96590909,1,1304.7998,1830.7314,4365.9,0.048159137,0.15513757,5.7049801
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,128,results/phaseA4/steady_paged_host-cacheline_bt16_mb128_rq500_s0.csv,500,500,0,0,3137,1487,2265,3000,0.755,18185,0,0,0,0,0,0,0,0.78522827,0.74,0.92424242,0.98898767,0.96635375,1,1309.5947,1844.2445,4383.03,0.052665896,0.15970544,5.6811708
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,oracle,bestfit,0,256,results/phaseA4/steady_paged_host-cacheline_bt16_mb256_rq500_s0.csv,500,500,0,0,3137,1487,2265,3000,0.755,18185,0,0,0,0,0,0,0,0.78522827,0.74,0.92424242,0.98898767,0.96635375,1,1309.5947,1844.2445,4383.03,0.052665896,0.15970544,5.6811708
