workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,paged,host-cacheline,4,0,1.3,1,window,results/phaseB/spec_paged_host-cacheline_bt4_s0.csv,400,400,0,0,2058,968,5535,11814,0.46851193,311041,29944,0,981975040,0.57185387,0.5,0.83712083,0.55554523,0.49375,0.80662802,477.69799,5609.6385,13904.975,0.050030357,0.16856165,14.872828
spec,paged,host-cacheline,16,0,1.3,1,window,results/phaseB/spec_paged_host-cacheline_bt16_s0.csv,400,400,0,0,2058,968,1396,2995,0.46611018,198012,37502,0,4927700992,0.76502172,0.73809524,0.875,0.98871846,0.96195652,1,1195.6408,1923.9236,4690.27,0.025601547,0.075329241,5.7517099
spec,paged,host-cacheline,64,0,1.3,1,window,results/phaseB/spec_paged_host-cacheline_bt64_s0.csv,400,400,0,0,2058,968,363,748,0.48529412,169508,39346,0,20639301632,0.93250949,0.91666667,0.94047619,0.98871846,0.96195652,1,2304.3089,983.66105,2592.41,0.0073670753,0.012542838,1.817667
spec,pim-aware,host-cacheline,4,0,1.3,1,window,results/phaseB/spec_pim-aware_host-cacheline_bt4_s0.csv,400,400,0,0,2058,968,5535,11840,0.46748311,311041,29944,0,981975040,0.95588799,0.93333333,0.96774194,0.85613092,0.73072103,0.98123219,2318.5243,991.14349,2500.595,0.57203204,0.96046893,1.4097392
spec,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseB/spec_pim-aware_host-cacheline_bt16_s0.csv,400,400,0,0,2058,968,1396,3000,0.46533333,198012,37502,0,4927700992,0.88050488,0.8,0.95326042,0.98871846,0.96195652,1,1857.9876,1278.2315,3248.27,0.48722474,0.55642495,3.2694547
spec,pim-aware,host-cacheline,64,0,1.3,1,window,results/phaseB/spec_pim-aware_host-cacheline_bt64_s0.csv,400,400,0,0,2058,968,363,748,0.48529412,169508,39346,0,20639301632,0.94318094,0.91666667,0.96233009,0.98871846,0.96195652,1,2468.367,909.7031,2322.065,0.2347,0.20007469,1.5397225
steady,paged,host-cacheline,4,0,1.3,1,window,results/phaseB/steady_paged_host-cacheline_bt4_s0.csv,400,400,0,0,3243,1334,8795,11814,0.74445573,56902,0,0,0,0.5846751,0.5,0.86907192,0.57901863,0.49621212,0.85671296,532.14364,6620.5286,21792.005,0.072300875,0.22933849,16.343868
steady,paged,host-cacheline,16,0,1.3,1,window,results/phaseB/steady_paged_host-cacheline_bt16_s0.csv,400,400,0,0,3243,1331,2229,2995,0.7442404,14381,0,0,0,0.79351288,0.73913043,0.92857143,0.98938664,0.96354167,1,1344.769,2141.6079,6707.85,0.069342448,0.19412895,5.4133161
steady,paged,host-cacheline,64,0,1.3,1,window,results/phaseB/steady_paged_host-cacheline_bt64_s0.csv,400,400,0,0,3243,1339,577,748,0.77139037,3744,0,0,0,0.93731287,0.92307692,0.95833333,0.98957967,0.96590909,1,2377.7855,1134.5096,3370.42,0.044664502,0.088734384,1.7316621
steady,pim-aware,host-cacheline,4,0,1.3,1,window,results/phaseB/steady_pim-aware_host-cacheline_bt4_s0.csv,400,400,0,0,3243,1333,8821,11840,0.74501689,56902,0,0,0,0.96311153,0.95,0.96864893,0.98936174,0.96341912,1,2802.5504,948.67524,2775.4,0.97995845,0.97483905,1
steady,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseB/steady_pim-aware_host-cacheline_bt16_s0.csv,400,400,0,0,3243,1331,2231,3000,0.74366667,14381,0,0,0,0.96315256,0.95,0.96862745,0.98921652,0.96354167,1,2802.8224,948.57596,2775.4,0.92050413,0.89829311,1
steady,pim-aware,host-cacheline,64,0,1.3,1,window,results/phaseB/steady_pim-aware_host-cacheline_bt64_s0.csv,400,400,0,0,3243,1339,577,748,0.77139037,3744,0,0,0,0.96328644,0.95238095,0.96875,0.98957967,0.96590909,1,2806.8502,952.62106,2775.4,0.64770593,0.56134094,1
