workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,results/phaseB2/spec_paged_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,6858407936,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,copyback,separate,results/phaseB2/spec_paged_host-cacheline_bt16_adcopyback_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,283025,0,0,7442952192,0.76650592,0.74,0.86956522,0.98882652,0.96471429,1,1202.7777,1778.719,4110.9,0.028039845,0.081422237,5.9055724
spec,pim-aware,host-cacheline,4,0,1.3,1,window,llama-gqa-8kv,splice,shared,results/phaseB2/spec_pim-aware_host-cacheline_bt4_psshared_s0.csv,500,500,0,0,2375,1153,6221,12000,0.51841667,426787,41897,0,1375010816,0.95396008,0.93181818,0.96753247,0.84858405,0.73058429,0.97563052,2271.2036,938.86618,2257.34,0.54263566,0.95773912,1.4940783
spec,pim-aware,host-cacheline,4,0,1.3,1,window,llama-gqa-8kv,splice,separate,results/phaseB2/spec_pim-aware_host-cacheline_bt4_s0.csv,500,500,0,0,2375,1153,6221,12000,0.51841667,426787,41897,0,1375010816,0.69983619,0.52586335,0.92,0.69292551,0.52437088,0.92494845,836.41296,3382.9752,9715.34,0.50131155,0.53105161,12.883252
spec,pim-aware,host-cacheline,4,0,1.3,1,window,llama-gqa-8kv,copyback,shared,results/phaseB2/spec_pim-aware_host-cacheline_bt4_adcopyback_psshared_s0.csv,500,500,0,0,2375,1153,6221,12000,0.51841667,462455,0,0,1959555072,0.95910746,0.94117647,0.96666667,0.90286071,0.80124402,0.99102317,2488.0351,841.72428,1977.8,0.7384011,0.96739773,1.2266602
spec,pim-aware,host-cacheline,4,0,1.3,1,window,llama-gqa-8kv,copyback,separate,results/phaseB2/spec_pim-aware_host-cacheline_bt4_adcopyback_s0.csv,500,500,0,0,2375,1153,6221,12000,0.51841667,462455,0,0,1959555072,0.96290372,0.95,0.96875,0.98796725,0.96191968,1,2792.9337,745.34432,1774.4,0.97775418,0.97538522,1
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,shared,results/phaseB2/spec_pim-aware_host-cacheline_bt16_psshared_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,6858407936,0.87295469,0.79712838,0.95124453,0.98882652,0.96471429,1,1795.6999,1215.167,3048.32,0.45385397,0.52552336,3.4873047
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,results/phaseB2/spec_pim-aware_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,6858407936,0.85043253,0.75925926,0.9455336,0.98882652,0.96471429,1,1652.2303,1328.9716,3294.08,0.42338677,0.43091672,4.0749405
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,copyback,shared,results/phaseB2/spec_pim-aware_host-cacheline_bt16_adcopyback_psshared_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,283025,0,0,7442952192,0.87050343,0.78571429,0.95454545,0.98882652,0.96471429,1,1789.9231,1242.1003,3119.64,0.48317284,0.51636636,3.5590094
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,copyback,separate,results/phaseB2/spec_pim-aware_host-cacheline_bt16_adcopyback_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,283025,0,0,7442952192,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,64,0,1.3,1,window,llama-gqa-8kv,splice,shared,results/phaseB2/spec_pim-aware_host-cacheline_bt64_psshared_s0.csv,500,500,0,0,2375,1153,408,748,0.54545455,235895,54872,0,28826861568,0.94227729,0.92105263,0.96153846,0.98882652,0.96471429,1,2452.2953,842.97199,1969.3,0.20945906,0.18311921,1.5728946
spec,pim-aware,host-cacheline,64,0,1.3,1,window,llama-gqa-8kv,splice,separate,results/phaseB2/spec_pim-aware_host-cacheline_bt64_s0.csv,500,500,0,0,2375,1153,408,748,0.54545455,235895,54872,0,28826861568,0.94239615,0.92105263,0.96153846,0.98882652,0.96471429,1,2453.9322,842.68959,1969.3,0.20476638,0.18518793,1.5703852
spec,pim-aware,host-cacheline,64,0,1.3,1,window,llama-gqa-8kv,copyback,shared,results/phaseB2/spec_pim-aware_host-cacheline_bt64_adcopyback_psshared_s0.csv,500,500,0,0,2375,1153,408,748,0.54545455,238136,0,0,29411405824,0.94772251,0.92857143,0.96601942,0.98882652,0.96471429,1,2536.3123,824.72229,1950.6,0.33768124,0.29364012,1.4274534
spec,pim-aware,host-cacheline,64,0,1.3,1,window,llama-gqa-8kv,copyback,separate,results/phaseB2/spec_pim-aware_host-cacheline_bt64_adcopyback_s0.csv,500,500,0,0,2375,1153,408,748,0.54545455,238136,0,0,29411405824,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.62838505,0.56944292,1
steady,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,results/phaseB2/steady_pim-aware_host-cacheline_bt16_s0.csv,500,500,0,0,3142,1489,2253,3000,0.751,18185,0,0,0,0.96315038,0.95,0.96875,0.98938042,0.96590909,1,2801.2004,800.08381,1832.3,0.91475632,0.8985964,1
