workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,contiguous,host-cacheline,16,0,1.3,1,window,results/phaseC/spec_contiguous_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,584544256,0.95679736,0.93478261,0.96721311,0.98882652,0.96471429,1,2691.5565,763.61934,1799.62,1,0.87376204,1.1655573
spec,contiguous,host-cacheline,16,0,1.3,2,window,results/phaseC/spec_contiguous_host-cacheline_bt16_sh2_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,292272128,0.95679736,0.93478261,0.96721311,0.98882652,0.96471429,1,1345.7782,763.61934,1799.62,1,0.87376204,1.1655573
spec,contiguous,host-cacheline,16,0,1.3,4,window,results/phaseC/spec_contiguous_host-cacheline_bt16_sh4_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,146136064,0.95679736,0.93478261,0.96721311,0.98882652,0.96471429,1,672.88912,763.61934,1799.62,1,0.87376204,1.1655573
spec,contiguous,host-cacheline,16,0,1.3,8,window,results/phaseC/spec_contiguous_host-cacheline_bt16_sh8_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,73068032,0.95679736,0.93478261,0.96721311,0.98882652,0.96471429,1,336.44456,763.61934,1799.62,1,0.87376204,1.1655573
spec,paged,host-cacheline,16,0,1.3,1,window,results/phaseC/spec_paged_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,6858407936,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1.3,2,window,results/phaseC/spec_paged_host-cacheline_bt16_sh2_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,3429203968,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,585.50145,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1.3,4,window,results/phaseC/spec_paged_host-cacheline_bt16_sh4_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,1714601984,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,292.75073,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1.3,8,window,results/phaseC/spec_paged_host-cacheline_bt16_sh8_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,857300992,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,146.37536,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseC/spec_pim-aware_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,6858407936,0.87295469,0.79712838,0.95124453,0.98882652,0.96471429,1,1795.6999,1215.167,3048.32,0.45385397,0.52552336,3.4873047
spec,pim-aware,host-cacheline,16,0,1.3,2,window,results/phaseC/spec_pim-aware_host-cacheline_bt16_sh2_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,3429203968,0.87295469,0.79712838,0.95124453,0.98882652,0.96471429,1,897.84995,1215.167,3048.32,0.45385397,0.52552336,3.4873047
spec,pim-aware,host-cacheline,16,0,1.3,4,window,results/phaseC/spec_pim-aware_host-cacheline_bt16_sh4_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,1714601984,0.87295469,0.79712838,0.95124453,0.98882652,0.96471429,1,448.92497,1215.167,3048.32,0.45385397,0.52552336,3.4873047
