workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,preemptions,self_preemptions,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,paged,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_paged_host-cacheline_bt16_hr0.6_s0.csv,500,500,0,0,2442,1190,1091,1382,0.7894356,273613,52211,0,6848544768,0,0,0.75778228,0.73809524,0.81996753,0.98893861,0.96428571,1,1159.9325,1838.0874,4364.43,0.012535626,0.045725713,5.9574444
spec,paged,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_paged_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,2372,1151,1382,1382,1,273838,52143,234,6839353344,4,0,0.75956134,0.73913043,0.83860917,0.98882393,0.96323529,1,1168.2915,1808.0401,4180.85,0.015106444,0.052641095,6.0097489
spec,paged,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_paged_host-cacheline_bt16_hr0.8_s0.csv,500,500,0,0,2371,1154,1349,1843,0.73195876,274225,52235,0,6853378048,0,0,0.75942909,0.73876812,0.83687961,0.98858925,0.96230978,1,1167.3886,1791.9007,4136.755,0.014912472,0.051478022,5.9970884
spec,paged,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_paged_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,2375,1153,1573,1843,0.85349973,274101,52269,0,6858407936,0,0,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_paged_host-cacheline_bt16_hr1.0_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,274101,52269,0,6858407936,0,0,0.76095325,0.74,0.84011111,0.98882652,0.96471429,1,1173.3317,1803.252,4180.84,0.01597964,0.057961051,6.0087827
spec,paged,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_paged_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,274101,52269,0,6858407936,0,0,0.76095325,0.74,0.84011111,0.98882652,0.96471429,1,1173.3317,1803.252,4180.84,0.01597964,0.057961051,6.0087827
spec,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_paged_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,6858407936,0,0,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_paged_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,6858407936,0,0,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_pim-aware_host-cacheline_bt16_hr0.6_s0.csv,500,500,0,0,2434,1193,1085,1384,0.78395954,274181,52207,0,6853263360,0,0,0.85055212,0.7625,0.94018952,0.98904484,0.96428571,1,1645.3319,1354.7723,3394.8,0.3783993,0.43117485,3.9343481
spec,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_pim-aware_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,2364,1154,1384,1384,1,273097,52051,491,6818758656,10,0,0.84492283,0.76086957,0.93825535,0.98911795,0.965,1,1605.7627,1353.2203,3291.4,0.32353856,0.40821182,4.0984179
spec,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_pim-aware_host-cacheline_bt16_hr0.8_s0.csv,500,500,0,0,2386,1152,1330,1848,0.71969697,274273,52270,0,6855098368,0,0,0.85024279,0.76211944,0.9423433,0.98884424,0.96307292,1,1646.1234,1334.1386,3302.855,0.39173302,0.43044917,4.0146209
spec,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_pim-aware_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,2375,1153,1573,1848,0.85119048,274101,52269,0,6858407936,0,0,0.84898262,0.76058678,0.94140491,0.98882652,0.96471429,1,1638.4333,1337.267,3313.06,0.38072534,0.42494902,4.0436933
spec,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_pim-aware_host-cacheline_bt16_hr1.0_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,274101,52269,0,6858407936,0,0,0.85013982,0.75942889,0.94326758,0.98882652,0.96471429,1,1648.3941,1331.2308,3293.72,0.40179417,0.42972167,4.0578836
spec,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_pim-aware_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,274101,52269,0,6858407936,0,0,0.85013982,0.75942889,0.94326758,0.98882652,0.96471429,1,1648.3941,1331.2308,3293.72,0.40179417,0.42972167,4.0578836
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/spec_pim-aware_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,6858407936,0,0,0.85043253,0.75925926,0.9455336,0.98882652,0.96471429,1,1652.2303,1328.9716,3294.08,0.42338677,0.43091672,4.0749405
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/spec_pim-aware_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,6858407936,0,0,0.85043253,0.75925926,0.9455336,0.98882652,0.96471429,1,1652.2303,1328.9716,3294.08,0.42338677,0.43091672,4.0749405
steady,paged,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_paged_host-cacheline_bt16_hr0.6_s0.csv,500,500,0,0,5616,2748,1082,1382,0.7829233,18185,0,0,0,0,0,0.76294042,0.74,0.86621795,0.99018241,0.96759259,1,1191.8261,1892.653,4544.99,0.019919213,0.065944831,5.9258469
steady,paged,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_paged_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,4031,1934,1382,1382,1,21442,0,0,0,206,0,0.77442772,0.74074074,0.91008974,0.99033417,0.97115385,1,1252.9542,1919.5033,4750.81,0.043120434,0.11487742,5.8127599
steady,paged,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_paged_host-cacheline_bt16_hr0.8_s0.csv,500,500,0,0,4346,2120,1394,1843,0.75637547,18185,0,0,0,0,0,0.76896203,0.74,0.90262882,0.98955327,0.96666667,1,1225.0826,1911.3938,4681.73,0.025592448,0.090923814,5.9032116
steady,paged,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_paged_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,3263,1563,1843,1843,1,20831,0,0,0,161,0,0.7828402,0.74,0.92857143,0.98981381,0.96875,1,1300.2106,1785.4099,4218.1,0.05207885,0.1500483,5.6695807
steady,paged,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_paged_host-cacheline_bt16_hr1.0_s0.csv,500,500,0,0,3671,1763,1723,2304,0.74782986,18185,0,0,0,0,0,0.77465472,0.74,0.91423645,0.9889375,0.96590909,1,1255.5934,1843.488,4292.87,0.043497024,0.11569875,5.8638299
steady,paged,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_paged_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,0,0,26,0,0.78531857,0.74,0.92541667,0.98881335,0.96428571,1,1311.8871,1801.1117,4333.9,0.051483533,0.1600626,5.6843528
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_paged_host-cacheline_bt16_s0.csv,500,500,0,0,3142,1489,2247,2995,0.75025042,18185,0,0,0,0,0,0.78464126,0.74074074,0.92857143,0.98934986,0.96634615,1,1309.6336,1832.3483,4352.82,0.04969485,0.15707203,5.6989071
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_paged_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2959,1431,2520,2995,0.84140234,18185,0,0,0,0,0,0.78473633,0.74,0.92857143,0.98909081,0.965,1,1312.6297,1804.3111,4342.5,0.050052907,0.15692738,5.6684083
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_pim-aware_host-cacheline_bt16_hr0.6_s0.csv,500,500,0,0,5610,2742,1092,1384,0.78901734,18185,0,0,0,0,0,0.96303626,0.95,0.96875,0.98964837,0.96590909,1,2799.7556,776.407,1883.47,0.90801225,0.89842152,1
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,0,0,202,0,0.85987951,0.76470588,0.96153846,0.98932557,0.96590909,1,1730.8712,1421.6394,3624.87,0.30738216,0.47086522,3.7035765
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_pim-aware_host-cacheline_bt16_hr0.8_s0.csv,500,500,0,0,4337,2117,1413,1848,0.76461039,18185,0,0,0,0,0,0.96309816,0.95,0.96875,0.9896459,0.96759259,1,2801.0727,794.90283,1894.22,0.90978167,0.89868028,1
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,0,0,148,0,0.87879994,0.77586207,0.96666667,0.989076,0.96590909,1,1902.415,1285.4892,3009.815,0.43759922,0.54955131,3.2716669
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_pim-aware_host-cacheline_bt16_hr1.0_s0.csv,500,500,0,0,3671,1763,1723,2304,0.74782986,18185,0,0,0,0,0,0.96300693,0.9502381,0.96875,0.9889375,0.96590909,1,2797.961,785.93437,1774.4,0.91039368,0.89811256,1
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,0,0,26,0,0.94034184,0.87600806,0.96825397,0.98881335,0.96428571,1,2488.5555,942.30202,2369.55,0.73284948,0.80576027,1.622853
steady,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,oracle,results/phaseD/steady_pim-aware_host-cacheline_bt16_s0.csv,500,500,0,0,3142,1489,2253,3000,0.751,18185,0,0,0,0,0,0.96315038,0.95,0.96875,0.98938042,0.96590909,1,2801.2004,800.08381,1832.3,0.91475632,0.8985964,1
steady,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,vllm,results/phaseD/steady_pim-aware_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2959,1431,2520,3000,0.84,18185,0,0,0,0,0,0.96284049,0.95,0.96875,0.98909081,0.965,1,2796.0712,790.19567,1840.9,0.91517726,0.89863338,1
