workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,pim_plan,max_batch,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,preemptions,self_preemptions,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,paged,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,splice,separate,vllm,bestfit,64,results/phaseD2/spec_paged_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,2372,1151,1382,1382,1,273838,52143,234,6839353344,4,0,0.75956134,0.73913043,0.83860917,0.98882393,0.96323529,1,1168.2915,1808.0401,4180.85,0.015106444,0.052641095,6.0097489
spec,paged,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,splice,separate,vllm,bestfit,64,results/phaseD2/spec_paged_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,2375,1153,1573,1843,0.85349973,274101,52269,0,6858407936,0,0,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1,1,window,llama-gqa-8kv,splice,separate,vllm,bestfit,64,results/phaseD2/spec_paged_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,274101,52269,0,6858407936,0,0,0.76095325,0.74,0.84011111,0.98882652,0.96471429,1,1173.3317,1803.252,4180.84,0.01597964,0.057961051,6.0087827
spec,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,splice,separate,vllm,bestfit,64,results/phaseD2/spec_paged_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,6858407936,0,0,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,copyback,separate,vllm,greedy,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_hr0.6_admvllm_plgreedy_s0.csv,500,500,0,0,2363,1153,1380,1384,0.99710983,282944,0,45,7432626176,7,0,0.95979374,0.93525054,0.96875,0.98887778,0.965,1,2745.0979,762.18222,1804.2,0.88524581,0.88707541,1.0846583
spec,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,copyback,separate,vllm,bestfit,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,2363,1153,1380,1384,0.99710983,282944,0,45,7432626176,7,0,0.95979374,0.93525054,0.96875,0.98887778,0.965,1,2745.0979,762.18222,1804.2,0.88524581,0.88707541,1.0846583
spec,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,copyback,separate,vllm,greedy,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_hr0.8_admvllm_plgreedy_s0.csv,500,500,0,0,2375,1153,1573,1848,0.85119048,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,copyback,separate,vllm,bestfit,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,2375,1153,1573,1848,0.85119048,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,copyback,separate,vllm,greedy,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_hr1.0_admvllm_plgreedy_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,copyback,separate,vllm,bestfit,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,copyback,separate,vllm,greedy,64,results/phaseD2/spec_pim-aware_host-cacheline_bt16_admvllm_plgreedy_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
