workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,pim_plan,pim_compact,max_batch,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,blocks_copied,compactions,spec_stalls,copied_bytes,preemptions,self_preemptions,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,0,0,0,0,202,0,0.85987951,0.76470588,0.96153846,0.98932557,0.96590909,1,1730.8712,1421.6394,3624.87,0.30738216,0.47086522,3.7035765
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.25,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_cp0.25_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,342,110,0,0,202,0,0.85733294,0.76121542,0.95833333,0.98932557,0.96590909,1,1704.329,1428.7909,3601.35,0.29671721,0.46014185,3.7692914
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.5,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_cp0.5_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,1972,257,0,0,202,0,0.85467415,0.77021109,0.95454545,0.98932557,0.96590909,1,1686.578,1447.3845,3638.52,0.3205864,0.44927841,3.7571917
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.75,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_cp0.75_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,6003,501,0,0,202,0,0.86086035,0.75957887,0.95980204,0.98932557,0.96590909,1,1752.6164,1399.5962,3431.52,0.44398563,0.47541139,3.5167739
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,0,0,0,0,148,0,0.87879994,0.77586207,0.96666667,0.989076,0.96590909,1,1902.415,1285.4892,3009.815,0.43759922,0.54955131,3.2716669
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.25,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_cp0.25_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,753,146,0,0,148,0,0.86660641,0.76744186,0.96153846,0.989076,0.96590909,1,1779.1101,1351.5223,3100.415,0.35585953,0.49885645,3.5653664
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.5,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_cp0.5_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,2605,241,0,0,148,0,0.8544833,0.7684058,0.95699693,0.989076,0.96590909,1,1685.7368,1418.7295,3500.715,0.34544597,0.44880422,3.7736327
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.75,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_cp0.75_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,6045,447,0,0,148,0,0.85959593,0.76056338,0.96084808,0.989076,0.96590909,1,1744.1636,1374.7422,3502.17,0.4371874,0.46985697,3.591953
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,0,0,0,0,26,0,0.94034184,0.87600806,0.96825397,0.98881335,0.96428571,1,2488.5555,942.30202,2369.55,0.73284948,0.80576027,1.622853
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.25,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_cp0.25_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,1619,325,0,0,26,0,0.91561956,0.85515705,0.965,0.98881335,0.96428571,1,2170.3333,1088.4082,2740.35,0.54142327,0.70367283,2.2666619
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.5,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_cp0.5_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,6443,441,0,0,26,0,0.87834946,0.78460778,0.96156918,0.98881335,0.96428571,1,1865.0932,1309.2256,3344.475,0.4908756,0.54885397,3.1542125
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,0.75,64,results/phaseD3/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_cp0.75_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,10261,482,0,0,26,0,0.85942204,0.75,0.96153846,0.98881335,0.96428571,1,1748.527,1393.4882,3548.85,0.45455651,0.4693041,3.580346
