workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,contiguous,host-cacheline,16,0,1.3,1,window,mqa-1kv,results/phaseK/spec_contiguous_host-cacheline_bt16_mdmqa-1kv_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,73068032,0.88760571,0.75,0.95454545,0.88600169,0.71875,0.98863636,1779.0468,137.76557,265.44,1,0.9855681,1.3787222
spec,contiguous,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,results/phaseK/spec_contiguous_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,584544256,0.95679736,0.93478261,0.96721311,0.98882652,0.96471429,1,2691.5565,763.61934,1799.62,1,0.87376204,1.1655573
spec,contiguous,host-cacheline,16,0,1.3,1,window,mha-32kv,results/phaseK/spec_contiguous_host-cacheline_bt16_mdmha-32kv_s0.csv,500,500,0,0,2375,1153,1893,2995,0.63205342,22185,0,0,2338177024,0.96638985,0.96153846,0.96861925,0.99837805,0.9939759,1,2887.337,2915.9323,7089,1,0.49950592,1.0268145
spec,paged,host-cacheline,16,0,1.3,1,window,mqa-1kv,results/phaseK/spec_paged_host-cacheline_bt16_mdmqa-1kv_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,857300992,0.56176402,0.5,0.7,0.30421443,0.24571429,0.46138393,242.94592,1210.8982,2897.7,0.01597964,0.13274883,12.594536
spec,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,results/phaseK/spec_paged_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,6858407936,0.76030687,0.73913043,0.83841012,0.98882652,0.96471429,1,1171.0029,1805.5817,4183.6,0.01597964,0.055138817,6.006683
spec,paged,host-cacheline,16,0,1.3,1,window,mha-32kv,results/phaseK/spec_paged_host-cacheline_bt16_mdmha-32kv_s0.csv,500,500,0,0,2375,1153,1573,2995,0.52520868,274101,52269,0,27433631744,0.93761867,0.93333333,0.94895803,0.99837805,0.9939759,1,2394.281,3519.796,8336.56,0.01597964,0.024719239,1.8783959
spec,pim-aware,host-cacheline,16,0,1.3,1,window,mqa-1kv,results/phaseK/spec_pim-aware_host-cacheline_bt16_mdmqa-1kv_s0.csv,500,500,0,0,2375,1153,1573,3008,0.52293883,274101,52269,0,857300992,0.92662527,0.83333333,0.97058824,0.71399727,0.53241758,0.92513021,1710.5212,142.551,312.31,0.53066615,0.99818889,1.0384504
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,results/phaseK/spec_pim-aware_host-cacheline_bt16_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,274101,52269,0,6858407936,0.87295469,0.79712838,0.95124453,0.98882652,0.96471429,1,1795.6999,1215.167,3048.32,0.45385397,0.52552336,3.4873047
spec,pim-aware,host-cacheline,16,0,1.3,1,window,mha-32kv,results/phaseK/spec_pim-aware_host-cacheline_bt16_mdmha-32kv_s0.csv,500,500,0,0,2375,1153,1573,2996,0.52503338,274101,52269,0,27433631744,0.95119825,0.93874836,0.96526905,0.99837805,0.9939759,1,2610.2984,3237.5435,7720.96,0.31615402,0.24916025,1.493074
steady,contiguous,host-cacheline,16,0,1.3,1,window,mqa-1kv,results/phaseK/steady_contiguous_host-cacheline_bt16_mdmqa-1kv_s0.csv,500,500,0,2052,3470,1628,1978,2995,0.66043406,18185,0,0,0,0.89186218,0.75,0.95833333,0.89398511,0.734375,0.99023438,1833.3452,142.8397,270.6,1,0.98531393,1.3625102
